KECAMATAN,KELURAHAN,RT,JENIS_KB,AKHIR_PKB,POKOK_PKB,JUMLAH_KENDARAAN
WARU,WARU,1,R,10/12/2025,34500,1
WARU,SESULU,1,R,06/12/2025,58000,1
PENAJAM,PENAJAM,1,R,07/11/2025,62500,1
PENAJAM,GUNUNG STELENG,6,R,12/22/2025,86000,1
WARU,WARU,4,R,12/18/2025,53500,1
PENAJAM,NIPAH-NIPAH,9,R,12/17/2025,128000,1
SEPAKU,TENGIN BARU,12,R,12/09/2025,85500,1
PENAJAM,NENANG,13,R,12/19/2025,118000,1
BABULU,GUNUNG MULIA,5,R,12/19/2025,100000,1
WARU,SESULU,3,R,09/01/2025,54000,1
PENAJAM,NIPAH-NIPAH,9,R,12/24/2025,0,1
PENAJAM,NIPAH-NIPAH,9,R,12/24/2025,0,1
PENAJAM,NIPAH-NIPAH,8,R,12/24/2025,118000,1
PENAJAM,NIPAH-NIPAH,8,R,12/24/2025,118000,1
PENAJAM,NIPAH-NIPAH,1,R,12/30/2025,79000,1
PENAJAM,LAWE-LAWE,6,R,09/05/2025,82300,1
BABULU,RAWA MULIA,1,R,12/30/2025,62500,1
BABULU,LABANGKA BARAT,7,R,11/27/2025,46500,1
PENAJAM,NIPAH-NIPAH,9,R,02/11/2025,42000,1
SEPAKU,TENGIN BARU,1,R,05/24/2023,344800,1
PENAJAM,NIPAH-NIPAH,9,R,07/15/2025,74000,1
PENAJAM,SIDOREJO,4,R,11/10/2025,47500,1
PENAJAM,NIPAH-NIPAH,8,R,04/17/2025,57000,1
BABULU,GUNUNG INTAN,15,R,05/24/2022,252000,1
PENAJAM,PETUNG,11,R,11/10/2025,72500,1
PENAJAM,PENAJAM,2,R,12/27/2025,72500,1
PENAJAM,PENAJAM,3,R,05/15/2025,59000,1
PENAJAM,NIPAH-NIPAH,9,R,06/05/2025,59000,1
PENAJAM,NIPAH-NIPAH,9,R,05/23/2025,55000,1
PENAJAM,PETUNG,10,R,10/30/2021,127620,1
PENAJAM,SUNGAI PARIT,5,R,12/31/2025,147000,1
PENAJAM,JENEBORA,2,R,01/17/2025,91000,1
PENAJAM,SOTEK,4,R,04/26/2021,132300,1
PENAJAM,BUKIT SUBUR,6,R,05/10/2020,147000,1
SEPAKU,MARIDAN,2,R,09/09/2024,120800,1
PENAJAM,KAMPUNG BARU,1,R,09/09/2025,115500,1
PENAJAM,PENAJAM,1,R,09/19/2023,145300,1
PENAJAM,PENAJAM,14,R,10/08/2022,122500,1
BABULU,BABULU DARAT,17,R,10/13/2025,112000,1
PENAJAM,PETUNG,2,R,10/13/2025,136500,1
PENAJAM,PENAJAM,4,R,11/10/2020,161000,1
PENAJAM,GIRIMUKTI,11,R,11/10/2025,150500,1
PENAJAM,NENANG,5,R,12/15/2024,157500,1
BABULU,BABULU DARAT,9,R,12/15/2021,108720,1
SEPAKU,SEPAKU,9,R,12/18/2023,142394,1
WARU,WARU,17,R,01/13/2022,111870,1
PENAJAM,PENAJAM,7,R,01/13/2025,143500,1
BABULU,BABULU DARAT,4,R,01/13/2022,132300,1
PENAJAM,PETUNG,3,R,09/25/2021,130770,1
WARU,WARU,17,R,09/25/2025,148800,1
PENAJAM,PENAJAM,1,R,09/30/2022,143500,1
PENAJAM,PETUNG,11,R,02/16/2025,33000,1
PENAJAM,PETUNG,10,R,07/05/2022,82300,1
BABULU,BABULU DARAT,12,R,10/22/2022,98000,1
PENAJAM,PENAJAM,2,R,10/29/2025,122500,1
PENAJAM,PETUNG,18,R,11/26/2021,39420,1
PENAJAM,SOTEK,8,R,11/26/2023,204800,1
PENAJAM,GERSIK,3,R,11/28/2025,148800,1
WARU,WARU,10,R,11/28/2025,40300,1
WARU,BANGUN MULYA,14,R,11/28/2025,173300,1
PENAJAM,PENAJAM,1,R,12/24/2025,134800,1
SEPAKU,MARIDAN,45,R,12/24/2025,122500,1
PENAJAM,SOTEK,1,R,12/24/2025,173300,1
WARU,BANGUN MULYA,12,R,12/24/2025,148800,1
PENAJAM,PENAJAM,9,R,01/22/2023,143500,1
SEPAKU,TENGIN BARU,12,R,01/22/2020,164500,1
PENAJAM,PETUNG,11,R,01/15/2025,36000,1
WARU,API-API,3,R,01/30/2023,42000,1
PENAJAM,GIRIMUKTI,14,R,01/30/2022,130770,1
PENAJAM,GERSIK,3,R,01/30/2025,157500,1
PENAJAM,PENAJAM,8,R,02/20/2024,157500,1
PENAJAM,PENAJAM,5,R,02/20/2025,211750,1
PENAJAM,PENAJAM,5,R,02/20/2023,131300,1
SEPAKU,MARIDAN,18,R,02/25/2025,185500,1
PENAJAM,GIRIMUKTI,7,R,03/11/2020,140000,1
PENAJAM,LAWE-LAWE,5,R,03/11/2024,161000,1
BABULU,SEBAKUNG JAYA,1,R,03/20/2023,161000,1
BABULU,LABANGKA,12,R,03/22/2022,80850,1
PENAJAM,GERSIK,7,R,04/08/2023,155750,1
PENAJAM,GIRIMUKTI,15,R,04/08/2022,121275,1
PENAJAM,PENAJAM,24,R,04/17/2022,154000,1
PENAJAM,PETUNG,1,R,04/17/2023,159300,1
PENAJAM,PENAJAM,17,R,04/29/2024,136500,1
SEPAKU,SEPAKU,12,R,04/29/2022,149840,1
BABULU,BABULU DARAT,7,R,05/14/2025,40300,1
BABULU,GUNUNG INTAN,22,R,05/14/2021,214200,1
BABULU,LABANGKA,14,R,05/27/2020,164500,1
PENAJAM,GIRIMUKTI,18,R,06/12/2021,138600,1
PENAJAM,PETUNG,12,R,06/25/2022,162800,1
WARU,WARU,16,R,06/25/2023,187300,1
BABULU,BABULU DARAT,4,R,06/25/2023,159300,1
PENAJAM,GIRIMUKTI,3,R,06/25/2023,162750,1
PENAJAM,PENAJAM,2,R,06/25/2021,141750,1
PENAJAM,NENANG,14,R,07/08/2025,49000,1
BABULU,BABULU DARAT,4,R,07/29/2021,120800,1
PENAJAM,GUNUNG STELENG,3,R,07/25/2025,129500,1
PENAJAM,PETUNG,4,R,07/25/2023,50800,1
